step_center,norm_mean,norm_sem
8.30000000e+01,2.98167065e-03,1.52439977e-03
2.50000000e+02,-3.76949533e-04,4.12238393e-04
4.16500000e+02,-7.82462287e-04,4.29891848e-04
5.83000000e+02,1.07471522e-04,3.03352297e-04
7.50000000e+02,-1.11536858e-04,2.93881141e-04
9.16500000e+02,2.14809099e-05,2.37141010e-04
1.08300000e+03,-1.32057647e-04,2.50739938e-04
1.25000000e+03,7.83434517e-05,2.51602667e-04
1.41650000e+03,7.29793631e-05,1.85819387e-04
1.58300000e+03,-3.01648194e-04,2.88833829e-04
1.75000000e+03,-6.90463805e-05,2.23629812e-04
1.91650000e+03,7.35454271e-05,1.84685589e-04
2.08300000e+03,-6.86227142e-05,1.54753476e-04
2.25000000e+03,-7.15402042e-05,1.44700127e-04
2.41650000e+03,6.37738633e-06,1.56850377e-04
2.58300000e+03,1.06189673e-04,1.49992413e-04
2.75000000e+03,-8.93466895e-05,1.74415861e-04
2.91650000e+03,-7.53077036e-05,1.55125680e-04
3.08300000e+03,-2.88416280e-05,1.69745196e-04
3.25000000e+03,-1.05517011e-04,1.35423602e-04
3.41650000e+03,1.21102719e-05,1.35550206e-04
3.58300000e+03,-6.50599510e-05,1.33962197e-04
3.75000000e+03,3.78985660e-05,1.51683338e-04
3.91650000e+03,-3.40234413e-05,1.43500932e-04
4.08300000e+03,7.23619272e-06,1.41647778e-04
4.25000000e+03,2.78706787e-05,1.25873556e-04
4.41650000e+03,1.45551288e-05,1.24276860e-04
4.58300000e+03,-4.91948584e-05,1.23709966e-04
4.75000000e+03,-1.87632852e-05,1.14635676e-04
4.91650000e+03,4.38549338e-05,1.15849026e-04
5.08300000e+03,1.76547452e-04,1.43525606e-04
5.25000000e+03,1.49941947e-05,1.02657114e-04
5.41650000e+03,-1.72842231e-05,1.07461173e-04
5.58300000e+03,1.02204422e-04,1.00835871e-04
5.75000000e+03,-8.95021794e-06,1.16685438e-04
5.91650000e+03,1.09371287e-04,1.08771247e-04
6.08300000e+03,-6.05014801e-05,1.13070293e-04
6.25000000e+03,8.12192097e-05,1.11327240e-04
6.41650000e+03,-6.59743053e-05,1.24703503e-04
6.58300000e+03,5.59975188e-05,1.04720367e-04
6.75000000e+03,-7.79057256e-06,1.13305336e-04
6.91650000e+03,-1.22095607e-04,1.04039596e-04
7.08300000e+03,1.44244986e-04,1.14583009e-04
7.25000000e+03,1.10945839e-05,1.11848067e-04
7.41650000e+03,-4.35810684e-05,1.09750158e-04
7.58300000e+03,2.29709993e-06,1.02337254e-04
7.75000000e+03,1.66101408e-05,1.10143450e-04
7.91650000e+03,5.67690661e-05,1.03201046e-04
8.08300000e+03,4.76986711e-05,1.02050674e-04
8.25000000e+03,-5.36818349e-05,1.11368188e-04
8.41650000e+03,3.75374473e-05,1.04596542e-04
8.58300000e+03,2.38198151e-05,1.06708948e-04
8.75000000e+03,6.89923759e-05,1.04304127e-04
8.91650000e+03,1.07326902e-05,1.02624008e-04
9.08300000e+03,6.37389701e-05,1.17677372e-04
9.25000000e+03,-6.87248120e-05,1.08446588e-04
9.41650000e+03,-1.06710332e-05,1.06914653e-04
9.58300000e+03,-8.67965328e-05,1.01340578e-04
9.75000000e+03,9.93585495e-05,1.01978352e-04
9.91650000e+03,5.79066925e-05,9.52728436e-05
